iter	Passed	Remaining
0	72	36028
1	86	21612
2	95	15820
3	104	12969
4	110	10968
5	116	9587
6	122	8638
7	128	7901
8	133	7291
9	139	6834
10	146	6505
11	151	6168
12	163	6121
13	169	5882
14	175	5689
15	182	5506
16	188	5350
17	196	5252
18	202	5124
19	208	4992
20	213	4880
21	222	4835
22	228	4738
23	234	4650
24	240	4569
25	247	4508
26	253	4442
27	259	4371
28	265	4313
29	270	4243
30	277	4192
31	283	4142
32	289	4101
33	295	4055
34	303	4035
35	309	3984
36	314	3939
37	320	3900
38	327	3868
39	341	3927
40	359	4019
41	371	4050
42	377	4012
43	384	3984
44	390	3948
45	396	3910
46	414	3995
47	422	3977
48	471	4337
49	487	4387
50	504	4442
51	520	4485
52	536	4526
53	552	4563
54	568	4598
55	582	4620
56	597	4646
57	614	4681
58	621	4646
59	627	4605
60	633	4559
61	639	4516
62	644	4473
63	650	4432
64	656	4392
65	662	4359
66	668	4320
67	674	4288
68	680	4250
69	686	4214
70	691	4180
71	697	4147
72	703	4114
73	709	4086
74	715	4053
75	722	4029
76	727	3999
77	733	3968
78	739	3939
79	744	3909
80	750	3880
81	756	3854
82	761	3825
83	766	3798
84	772	3770
85	778	3745
86	783	3720
87	791	3707
88	797	3683
89	803	3662
90	809	3638
91	815	3616
92	821	3593
93	826	3570
94	832	3549
95	839	3531
96	845	3514
97	853	3502
98	859	3482
99	868	3472
100	874	3453
101	880	3434
102	886	3415
103	892	3398
104	898	3379
105	904	3361
106	916	3365
107	922	3349
108	928	3332
109	937	3322
110	943	3306
111	949	3290
112	956	3274
113	962	3257
114	969	3244
115	977	3236
116	984	3222
117	990	3206
118	996	3191
119	1003	3177
120	1009	3162
121	1015	3146
122	1021	3130
123	1028	3118
124	1034	3103
125	1040	3088
126	1047	3076
127	1056	3070
128	1062	3056
129	1068	3041
130	1075	3028
131	1081	3013
132	1087	3000
133	1093	2987
134	1099	2972
135	1105	2960
136	1112	2947
137	1118	2935
138	1129	2932
139	1136	2921
140	1143	2911
141	1149	2897
142	1155	2884
143	1162	2874
144	1179	2887
145	1193	2894
146	1211	2908
147	1218	2899
148	1231	2902
149	1248	2912
150	1263	2920
151	1280	2930
152	1291	2929
153	1302	2926
154	1313	2923
155	1319	2909
156	1326	2898
157	1348	2919
158	1363	2923
159	1384	2941
160	1399	2947
161	1415	2952
162	1431	2959
163	1448	2966
164	1465	2975
165	1482	2982
166	1497	2985
167	1512	2989
168	1528	2993
169	1544	2997
170	1559	3000
171	1565	2984
172	1571	2969
173	1576	2954
174	1584	2942
175	1590	2927
176	1606	2931
177	1617	2926
178	1624	2913
179	1631	2900
180	1636	2884
181	1643	2871
182	1648	2855
183	1654	2841
184	1663	2832
185	1669	2819
186	1675	2804
187	1681	2790
188	1686	2775
189	1702	2778
190	1720	2783
191	1734	2781
192	1749	2783
193	1765	2784
194	1780	2784
195	1793	2781
196	1815	2792
197	1824	2782
198	1831	2769
199	1837	2756
200	1843	2742
201	1849	2728
202	1855	2714
203	1861	2701
204	1869	2689
205	1875	2676
206	1881	2662
207	1889	2652
208	1895	2639
209	1901	2626
210	1908	2613
211	1914	2600
212	1920	2587
213	1926	2575
214	1932	2561
215	1938	2549
216	1945	2537
217	1952	2525
218	1959	2513
219	1966	2502
220	1971	2489
221	1977	2476
222	1984	2465
223	1991	2453
224	1998	2442
225	2005	2431
226	2012	2420
227	2019	2409
228	2025	2396
229	2030	2383
230	2037	2373
231	2044	2361
232	2051	2350
233	2060	2342
234	2066	2329
235	2072	2318
236	2081	2309
237	2089	2300
238	2098	2291
239	2104	2280
240	2111	2268
241	2117	2257
242	2123	2245
243	2130	2234
244	2135	2222
245	2141	2211
246	2150	2202
247	2156	2190
248	2163	2181
249	2172	2172
250	2180	2162
251	2187	2152
252	2197	2145
253	2204	2134
254	2210	2124
255	2216	2112
256	2225	2104
257	2231	2092
258	2236	2081
259	2242	2070
260	2248	2058
261	2253	2047
262	2259	2036
263	2265	2025
264	2272	2014
265	2277	2003
266	2283	1992
267	2289	1981
268	2294	1970
269	2301	1960
270	2307	1949
271	2312	1938
272	2318	1927
273	2323	1916
274	2329	1905
275	2335	1895
276	2341	1885
277	2348	1875
278	2353	1864
279	2370	1862
280	2375	1851
281	2388	1846
282	2396	1837
283	2407	1831
284	2416	1823
285	2436	1822
286	2458	1824
287	2474	1821
288	2481	1811
289	2489	1802
290	2496	1792
291	2510	1788
292	2526	1784
293	2541	1780
294	2558	1777
295	2574	1774
296	2580	1763
297	2594	1758
298	2609	1754
